date,DayOfWeek,TimeOfDay,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
02/02/2015 14:19,2,14,23.7,26.272,585.2,749.2,0.004764163,1
02/02/2015 14:19,2,14,23.718,26.29,578.4,760.4,0.004772661,1
02/02/2015 14:21,2,14,23.73,26.23,572.6666667,769.6666667,0.004765153,1
02/02/2015 14:22,2,14,23.7225,26.125,493.75,774.75,0.004743773,1
02/02/2015 14:23,2,14,23.754,26.2,488.6,779,0.004766594,1
02/02/2015 14:23,2,14,23.76,26.26,568.6666667,790,0.004779332,1
02/02/2015 14:25,2,14,23.73,26.29,536.3333333,798,0.004776136,1
02/02/2015 14:25,2,14,23.754,26.29,509,797,0.004783094,1
02/02/2015 14:26,2,14,23.754,26.35,476,803.2,0.004794094,1
02/02/2015 14:28,2,14,23.736,26.39,510,809,0.004796189,1
02/02/2015 14:29,2,14,23.745,26.445,481.5,815.25,0.004808886,1
02/02/2015 14:30,2,14,23.7,26.56,481.8,824,0.004816793,1
02/02/2015 14:31,2,14,23.7,26.6,475.25,832,0.004824104,1
02/02/2015 14:31,2,14,23.7,26.7,469,845.3333333,0.004842381,1
02/02/2015 14:32,2,14,23.7,26.774,464,852.4,0.004855906,1
02/02/2015 14:34,2,14,23.7,26.89,464,861,0.00487711,1
02/02/2015 14:35,2,14,23.7,26.9725,455,880,0.004892191,1
02/02/2015 14:36,2,14,23.6,26.89,454,891,0.004847594,1
02/02/2015 14:37,2,14,23.64,26.976,458,897.6,0.004875045,1
02/02/2015 14:38,2,14,23.65,27.05,464,900.5,0.004891492,1
02/02/2015 14:38,2,14,23.64,27.1,473,908.8,0.00489763,1
02/02/2015 14:39,2,14,23.6,27.16,464,918,0.004896652,1
02/02/2015 14:41,2,14,23.6,27.236,498.4,925.2,0.004910462,1
02/02/2015 14:42,2,14,23.6,27.29,530.2,929.4,0.004920275,1
02/02/2015 14:43,2,14,23.6,27.33,533.6,936.4,0.004927544,1
02/02/2015 14:44,2,14,23.6,27.34,524.25,950,0.004929361,1
02/02/2015 14:44,2,14,23.625,27.3925,498.6666667,961,0.004946406,1
02/02/2015 14:45,2,14,23.6,27.39,516.3333333,963,0.004938448,1
02/02/2015 14:47,2,14,23.6,27.412,501.2,958.6,0.004942446,1
02/02/2015 14:48,2,14,23.6,27.5,522,965.3333333,0.004958439,1
02/02/2015 14:49,2,14,23.6,27.525,520.5,979.25,0.004962982,1
02/02/2015 14:50,2,14,23.6,27.6,505.2857143,978.4285714,0.004976614,1
02/02/2015 14:51,2,14,23.6,27.6,488.3333333,983,0.004976614,1
02/02/2015 14:51,2,14,23.6,27.54,512,992.6,0.004965709,1
02/02/2015 14:53,2,14,23.6,27.6,511,997.2,0.004976614,1
02/02/2015 14:54,2,14,23.61666667,27.63333333,501.5,999.5,0.004987718,1
02/02/2015 14:55,2,14,23.66666667,27.7,503.6666667,1001,0.005015051,1
02/02/2015 14:55,2,14,23.6,27.7,483.1666667,1009.5,0.00499479,1
02/02/2015 14:57,2,14,23.6,27.7225,483.5,1019,0.004998879,1
